[ebgp_v4]   Check IPv4 EBGP sessions with DUT [ node(s): x1,r1 ]
[WAITING]   Waiting for EBGP session establishment (retrying for 30 seconds)
[PASS]      x1: Neighbor 10.1.0.1 (dut) is in state Established
[PASS]      r1: Neighbor 10.1.0.9 (dut) is in state Established
[PASS]      Test succeeded in 1.5 seconds

[ebgp_v6]   Check IPv6 EBGP sessions with DUT [ node(s): x1,r1 ]
[PASS]      x1: Neighbor 2001:db8:3::1 (dut) is in state Established
[PASS]      r1: Neighbor 2001:db8:3:2::1 (dut) is in state Established
[PASS]      Test succeeded in 0.2 seconds

[def_ipv4]  Check whether DUT advertises IPv4 default route to X1 [ node(s): x1 ]
[PASS]      x1: The prefix 0.0.0.0/0 is in the BGP table
[PASS]      Test succeeded in 0.1 seconds

[def_ipv6]  Check whether DUT advertises IPv6 default route to X1 [ node(s): x1 ]
[PASS]      x1: The prefix ::/0 is in the BGP table
[PASS]      Test succeeded in 0.1 seconds

[prop_ipv4] Check the propagation of IPv4 routes X1 -> R1 [ node(s): r1 ]
[PASS]      r1: The prefix 172.17.0.1/32 is in the BGP table
[PASS]      Test succeeded in 0.1 seconds

[prop_ipv6] Check the propagation of IPv6 routes X1 -> R1 [ node(s): r1 ]
[PASS]      r1: The prefix 2001:db8:cafe::1/128 is in the BGP table
[PASS]      Test succeeded in 0.1 seconds

[nd_ipv4]   Check whether DUT advertises IPv4 default route to R1 [ node(s): r1 ]
[PASS]      r1: The prefix 0.0.0.0/0 is not in the BGP table
[PASS]      Test succeeded in 0.1 seconds

[nd_ipv6]   Check whether DUT advertises IPv6 default route to R1 [ node(s): r1 ]
[PASS]      r1: The prefix ::/0 is not in the BGP table
[PASS]      Test succeeded in 0.1 seconds

[v_warning] Starting test
[WARNING]   Device openbsd does support VRFs, skipping VRF-specific tests

[INFO]      One test out of 11 tests generated a warning
