[session_v4] Check IPv4 EBGP sessions with DUT [ node(s): x1,v1 ]
[WAITING]    Waiting for EBGP session establishment (retrying for 200 seconds)
[PASS]       x1: Neighbor 10.1.0.1 (dut) is in state Established
[PASS]       v1: Neighbor 10.1.0.5 (dut) is in state Established
[PASS]       Test succeeded in 1.5 seconds

[session_v6] Check IPv6 EBGP sessions with DUT [ node(s): x1,v1 ]
[PASS]       x1: Neighbor 2001:db8:3::1 (dut) is in state Established
[PASS]       v1: Neighbor 2001:db8:3:1::1 (dut) is in state Established
[PASS]       Test succeeded in 0.2 seconds

[v_warning]  Starting test
[WARNING]    Device openbsd does support VRFs, skipping VRF-specific tests

[INFO]       One test out of 5 tests generated a warning
