[adj]     Starting test [ node(s): r1,r3 ]
[PASS]    r1: OSPFv2 neighbor 10.0.0.2 is in state full
[PASS]    r3: OSPFv2 neighbor 10.0.0.2 is in state Full/-
[PASS]    Test succeeded in 1.9 seconds

[ra]      Check RA-generated default route [ node(s): h1,h2 ]
[PASS]    h1: IPv6 default route is present
[PASS]    h2: IPv6 default route is present
[PASS]    Test succeeded in 0.2 seconds

[v6mgmt]  Check for default IPv6 management subnet [ node(s): h2 ]
[PASS]    Validation succeeded on h2
[PASS]    Test succeeded in 0.0 seconds

[ping]    Check end-to-end connectivity [ node(s): h1,h2,r3 ]
[PASS]    h2: Ping to ipv6 r1 succeeded
[PASS]    r3: Ping to ipv6 r1 succeeded
[PASS]    h1: Ping to ipv6 r1 succeeded
[PASS]    Test succeeded in 6.5 seconds

[SUCCESS] Tests passed: 8
