[bgp_adj]     Starting test [ node(s): eos_f,eos_nd,frr_f,frr_nd ]
[PASS]        eos_nd: Neighbor 10.1.0.10 (probe) is in state Established
[PASS]        frr_nd: Neighbor 10.1.0.22 (probe) is in state Established
[WAITING]     Waiting for EBGP adjacencies (retrying for 30 seconds)
[PASS]        eos_f: Neighbor 10.1.0.2 (probe) is in state Established
[PASS]        frr_f: Neighbor 10.1.0.14 (probe) is in state Established
[PASS]        Test succeeded in 2.2 seconds

[bgp_bird]    Starting test [ node(s): probe ]
[PASS]        probe: Neighbor 172.16.0.7 (bird_f) is in state Established
[PASS]        Test succeeded in 0.1 seconds

[ospf_adj]    Starting test [ node(s): eos_f,eos_nb,eos_nd,frr_f,frr_nb,frr_nd ]
[PASS]        eos_f: OSPFv2 neighbor 10.0.0.9 is in state full
[PASS]        eos_nb: OSPFv2 neighbor 10.0.0.9 is in state full
[PASS]        eos_nd: OSPFv2 neighbor 10.0.0.9 is in state full
[PASS]        frr_f: OSPFv2 neighbor 10.0.0.9 is in state Full/-
[PASS]        frr_nb: OSPFv2 neighbor 10.0.0.9 is in state Full/-
[PASS]        frr_nd: OSPFv2 neighbor 10.0.0.9 is in state Full/-
[PASS]        Test succeeded in 1.2 seconds

[ospf_b1]     Starting test [ node(s): probe ]
[PASS]        probe: OSPFv2 neighbor 10.0.0.7 is in state Full/-
[PASS]        Test succeeded in 0.1 seconds

[ospf_b2]     Starting test [ node(s): probe ]
[PASS]        probe: OSPFv2 neighbor 10.0.0.8 is in state Full/-
[PASS]        Test succeeded in 0.1 seconds

[no_bgp_eos]  Starting test [ node(s): probe ]
[PASS]        probe: Neighbor 10.1.0.5 (eos_nb) is in state Active
[PASS]        Test succeeded in 0.1 seconds

[no_bgp_frr]  Starting test [ node(s): probe ]
[PASS]        probe: Neighbor 10.1.0.17 (frr_nb) is in state Active
[PASS]        Test succeeded in 0.1 seconds

[no_bgp_bird] Starting test [ node(s): probe ]
[PASS]        probe: Neighbor 172.16.1.8 (bird_nb) is in state Active
[PASS]        Test succeeded in 0.1 seconds

[def_eos]     Check whether EOS advertises IPv4 default [ node(s): probe ]
[PASS]        probe: The prefix 0.0.0.0/0 is in the BGP table with BGP router ID=10.0.0.1
[PASS]        Test succeeded in 0.1 seconds

[nodef_eos]   Check whether bgp.session plugin is missing on EOS [ node(s): probe ]
[PASS]        probe: There is no path to 0.0.0.0/0 in the BGP table with BGP router ID=10.0.0.3
[PASS]        Test succeeded in 0.1 seconds

[def_frr]     Check whether FRR advertises IPv4 default [ node(s): probe ]
[PASS]        probe: The prefix 0.0.0.0/0 is in the BGP table with BGP router ID=10.0.0.4
[PASS]        Test succeeded in 0.1 seconds

[nodef_frr]   Check whether bgp.session plugin is missing on FRR [ node(s): probe ]
[PASS]        probe: There is no path to 0.0.0.0/0 in the BGP table with BGP router ID=10.0.0.6
[PASS]        Test succeeded in 0.1 seconds

[SUCCESS]     Tests passed: 20
