[bgp_adj]   Check EBGP sessions with S1 [ node(s): L1,L2,L3,L4 ]
[WAITING]   Wait for BGP sessions to be established (retrying for 30 seconds)
[PASS]      L1: Neighbor 10.1.0.2 (S1) is in state Established
[PASS]      L2: Neighbor 10.1.0.10 (S1) is in state Established
[PASS]      L3: Neighbor 10.1.0.18 (S1) is in state Established
[PASS]      L4: Neighbor 10.1.0.26 (S1) is in state Established
[PASS]      Test succeeded in 1.9 seconds

[bgp_route] Check EBGP route propagation [ node(s): L1,L2,L3 ]
[PASS]      L2: The prefix 10.0.0.4/32 is in the BGP table
[PASS]      L3: The prefix 10.0.0.4/32 is in the BGP table
[WAITING]   Wait for BGP convergence (retrying for 5 seconds)
[PASS]      L1: The prefix 10.0.0.4/32 is in the BGP table
[PASS]      Test succeeded in 1.5 seconds

[SUCCESS]   Tests passed: 7
