[ospf_adj]     Check OSPF session with DUT [ node(s): r1 ]
[WAITING]      Wait for OSPF session to be established (retrying for 30 seconds)
[PASS]         r1: OSPFv2 neighbor 10.0.0.1 is in state Full/-
[PASS]         Test succeeded in 7.8 seconds

[bgp_adj]      Check BGP sessions with DUT [ node(s): x1,x2,r1 ]
[PASS]         x1: Neighbor 10.1.0.5 (dut) is in state Established
[PASS]         x2: Neighbor 10.1.0.9 (dut) is in state Established
[WAITING]      Wait for BGP sessions to be established (retrying for 30 seconds)
[PASS]         r1: Neighbor 10.0.0.1 (dut) is in state Established
[PASS]         Test succeeded in 4.7 seconds

[originate]    Check whether DUT originates the beacon prefix [ node(s): x1,x2,r1 ]
[PASS]         x1: The prefix 172.42.42.0/24 is in the BGP table
[PASS]         x2: The prefix 172.42.42.0/24 is in the BGP table
[WAITING]      Wait for prefix origination and BGP convergence (retrying for 15 seconds)
[PASS]         r1: The prefix 172.42.42.0/24 is in the BGP table
[PASS]         Test succeeded in 1.4 seconds

[loopback]     Check whether DUT2 originates the loopback prefix [ node(s): x1,x2,r1 ]
[PASS]         x1: The prefix 10.0.0.2/32 is in the BGP table
[PASS]         x2: The prefix 10.0.0.2/32 is in the BGP table
[PASS]         r1: The prefix 10.0.0.2/32 is in the BGP table
[PASS]         Test succeeded in 0.3 seconds

[stub]         Check whether DUT originates a stub prefix [ node(s): x1,x2,r1 ]
[PASS]         x1: The prefix 172.0.42.0/24 is in the BGP table
[PASS]         x2: The prefix 172.0.42.0/24 is in the BGP table
[PASS]         r1: The prefix 172.0.42.0/24 is in the BGP table
[PASS]         Test succeeded in 0.3 seconds

[suppress_lb]  Check whether DUT suppresses the loopback prefix [ node(s): x1,x2,r1 ]
[PASS]         x1: The prefix 10.0.0.1/32 is not in the BGP table
[PASS]         x2: The prefix 10.0.0.1/32 is not in the BGP table
[PASS]         r1: The prefix 10.0.0.1/32 is not in the BGP table
[PASS]         Test succeeded in 0.3 seconds

[suppress_p2p] Check whether DUT originates an unwanted prefix on a P2P link [ node(s): x1,x2,r1 ]
[PASS]         x1: The prefix 172.0.66.0/24 is not in the BGP table
[PASS]         x2: The prefix 172.0.66.0/24 is not in the BGP table
[PASS]         r1: The prefix 172.0.66.0/24 is not in the BGP table
[PASS]         Test succeeded in 0.3 seconds

[SUCCESS]      Tests passed: 19
